TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET
680,1,C,Hogar,102.36,25.65488,-100.21207,Hogar Reunión,UT_DENSIDAD,TEST
730,1,C,Hogar,97.43,25.66315,-100.22738,Hogar Reunión,UT_DENSIDAD,TEST
650,1,C,Hogar,117.01,25.66404,-100.22993,Hogar Reunión,UT_DENSIDAD,TEST
670,1,C,Base,109.76,25.66508,-100.26338,Hogar Reunión,UT_DENSIDAD,TEST
800,1,C,Peatonal,0,25.69367,-100.21433,Parada Técnica,UT_TRAFICO_PEATONAL,TEST
240,1,BC,Base,125.16,25.74465,-100.1809,Hogar Reunión,UT_GAS_URBANA,TEST
200,1,BC,Hogar,128.97,25.69186,-100.25809,Clásico,UT_DENSIDAD,TEST
210,1,CD,Base,127.37,25.70153,-100.13066,Parada Técnica,UT_CARRETERA_GAS,TEST
260,1,CD,Hogar,119.2,25.68395,-100.20774,Hogar Reunión,UT_DENSIDAD,TEST
770,1,C,Receso,66.93,25.6648,-100.26438,Oficinistas,UT_TRAFICO_PEATONAL,TEST
790,1,C,Hogar,0,25.73393,-100.16229,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
360,1,C,Hogar,96.71,25.66577,-100.21695,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
380,1,C,Base,101.66,25.70768,-100.17905,Oficinistas,UT_GAS_URBANA,TEST
310,1,CD,Hogar,108,25.69667,-100.26146,Hogar Reunión,UT_GAS_URBANA,TEST
550,1,C,Hogar,109.86,25.69621,-100.15702,Hogar Reunión,UT_DENSIDAD,TEST
340,1,C,Hogar,101,25.70343,-100.25045,Hogar Reunión,UT_GAS_URBANA,TEST
560,1,C,Hogar,112.33,25.69058,-100.22989,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
840,2,C,Hogar,0,26.02177,-98.26152,Hogar Reunión,UT_DENSIDAD,TEST
810,2,B,Base,0,26.06862,-98.31477,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
990,2,C,Hogar,120.08,26.0276,-98.2312,Hogar Reunión,UT_DENSIDAD,TEST
1000,2,C,Hogar,101.82,26.01994,-98.28429,Hogar Reunión,UT_DENSIDAD,TEST
1010,2,C,Hogar,104.98,26.07052,-98.32878,Hogar Reunión,UT_TRAFICO_VEHICULAR,TEST
