TIENDA_ID,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,ENTORNO_DES,MTS2VENTAS_NUM,LATITUD_NUM,LONGITUD_NUM,SEGMENTO_MAESTRO_DESC,LID_UBICACION_TIENDA,DATASET,Exito
126,1,BC,Hogar,127.42,25.69107,-100.21261,Hogar Reunión,UT_DENSIDAD,TRAIN,90.5
681,1,C,Hogar,128.13,25.73571,-100.18086,Hogar Reunión,UT_DENSIDAD,TRAIN,95.2
117,1,C,Base,87.62,25.71883,-100.19133,Hogar Reunión,UT_DENSIDAD,TRAIN,52.4
682,1,C,Hogar,90.7,25.66952,-100.20744,Hogar Reunión,UT_DENSIDAD,TRAIN,100.0
275,1,C,Hogar,95.3,25.73766,-100.16116,Hogar Reunión,UT_DENSIDAD,TRAIN,66.7
684,1,C,Base,116.07,25.70486,-100.15613,Oficinistas,UT_GAS_URBANA,TRAIN,23.8
694,1,C,Receso,78.48,25.67955,-100.24328,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,100.0
272,1,C,Hogar,100.58,25.70058,-100.2018,Hogar Reunión,UT_DENSIDAD,TRAIN,100.0
702,1,C,Hogar,73.24,25.67344,-100.26084,Hogar Reunión,UT_DENSIDAD,TRAIN,95.2
704,1,C,Base,107.23,25.68419,-100.22138,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,95.2
125,1,BC,Hogar,141.9,25.69017,-100.25164,Clásico,UT_TRAFICO_VEHICULAR,TRAIN,100.0
279,1,C,Hogar,104.2,25.67484,-100.24412,Hogar Reunión,UT_DENSIDAD,TRAIN,100.0
127,1,BC,Hogar,132.0,25.66474,-100.20913,Hogar Reunión,UT_GAS_URBANA,TRAIN,95.2
706,1,C,Hogar,120.87,25.73785,-100.20217,Hogar Reunión,UT_DENSIDAD,TRAIN,90.5
129,1,BC,Base,83.99,25.6808,-100.24372,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,95.2
268,1,C,Base,121.2,25.69481,-100.23052,Clásico,UT_GAS_URBANA,TRAIN,100.0
131,1,BC,Hogar,99.65,25.64911,-100.26649,Clásico,UT_DENSIDAD,TRAIN,95.2
716,1,C,Hogar,121.21,25.7105,-100.21547,Hogar Reunión,UT_DENSIDAD,TRAIN,100.0
722,1,C,Base,118.3,25.69569,-100.24609,Oficinistas,UT_TRAFICO_VEHICULAR,TRAIN,95.2
726,1,C,Hogar,113.96,25.72278,-100.15421,Hogar Reunión,UT_DENSIDAD,TRAIN,90.5
135,1,BC,Hogar,124.5,25.69272,-100.25433,Clásico,UT_DENSIDAD,TRAIN,100.0
663,1,C,Base,115.76,25.71882,-100.16863,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,33.3
639,1,C,Hogar,113.85,25.71143,-100.15224,Hogar Reunión,UT_DENSIDAD,TRAIN,100.0
642,1,C,Receso,88.39,25.70438,-100.22197,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,81.0
299,1,C,Hogar,94.0,25.68426,-100.21374,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,95.2
298,1,C,Peatonal,103.3,25.67933,-100.24593,Oficinistas,UT_TRAFICO_PEATONAL,TRAIN,100.0
644,1,C,Base,105.69,25.7036,-100.15854,Hogar Reunión,UT_TRAFICO_PEATONAL,TRAIN,85.7
296,1,C,Hogar,86.0,25.66105,-100.25257,Clásico,UT_GAS_URBANA,TRAIN,100.0
652,1,C,Base,113.23,25.65635,-100.26234,Clásico,UT_TRAFICO_VEHICULAR,TRAIN,95.2
653,1,C,Hogar,112.09,25.69885,-100.12075,Clásico,UT_DENSIDAD,TRAIN,90.5
292,1,C,Hogar,114.0,25.72188,-100.20232,Hogar Reunión,UT_GAS_URBANA,TRAIN,100.0
291,1,C,Hogar,108.91,25.68419,-100.24388,Hogar Reunión,UT_DENSIDAD,TRAIN,100.0
731,1,C,Base,117.97,25.67493,-100.20706,Hogar Reunión,UT_GAS_URBANA,TRAIN,95.2
289,1,C,Hogar,114.04,25.70314,-100.23122,Hogar Reunión,UT_GAS_URBANA,TRAIN,90.5
288,1,D,Base,104.0,25.67442,-100.20493,Hogar Reunión,UT_TRAFICO_VEHICULAR,TRAIN,95.2
667,1,C,Hogar,122.19,25.73719,-100.15527,Hogar Reunión,UT_DENSIDAD,TRAIN,100.0
668,1,C,Hogar,93.08,25.72812,-100.18563,Hogar Reunión,UT_DENSIDAD,TRAIN,90.5
