TIENDA_ID,AÑO,MES,VENTA_TOTAL
74,2023,7,4361.25
347,2023,7,4664.9
342,2024,2,4830.38
824,2023,8,4840.31
829,2023,6,4932.78
832,2023,11,4935.17
802,2023,6,5205.61
405,2024,2,5621.97
847,2023,11,6002.45
825,2023,6,6460.93
850,2024,1,6505.79
803,2023,2,6704.08
27,2023,7,7584.45
269,2024,2,8689.75
859,2024,6,9764.95
198,2024,4,9975.81
868,2024,5,10056.73
873,2024,3,10186.6
808,2023,8,10815
225,2024,7,11124.65
44,2023,5,11586.18
842,2023,11,11640.46
406,2024,2,11711.89
819,2023,11,12372.08
786,2023,6,12442.34
886,2024,2,13098.93
836,2023,6,13386.39
809,2023,6,13839.14
861,2024,6,14966.22
841,2023,11,15273.95
113,2023,10,16037.02
815,2023,5,16191.48
863,2024,3,16218.8
30,2024,2,16369.56
833,2023,8,16499.18
423,2024,5,17981.7
35,2023,9,18099.17
952,2023,7,18315.62
849,2023,11,19672.55
846,2024,1,20083.6
957,2024,4,20463.88
895,2023,8,20511.63
838,2023,11,21386.9
855,2024,3,21793.34
831,2023,6,24669.21
845,2023,11,28210.58
355,2023,7,29033.99
400,2023,7,29199.42
911,2024,7,30761.65
290,2023,6,31260.86
39,2024,1,31623.12
274,2024,7,33291.6
844,2023,11,33555.98
867,2024,5,33797.24
385,2024,2,34036.26
181,2023,7,34949.05
450,2024,2,36308.17
117,2023,5,39231.98
872,2024,6,40090.55
394,2024,1,40475.94
477,2024,12,42086.58
370,2023,7,42103.78
801,2023,6,44687.75
25,2024,2,45072.36
877,2023,6,45359.27
879,2024,7,45826.96
791,2023,2,48598.34
338,2023,8,48939.79
871,2024,5,48959.17
853,2024,6,49135.06
27,2023,6,49439.41
1010,2024,4,53050.26
225,2024,6,53550.32
219,2023,10,54044.94
1053,2023,6,57107.57
397,2023,8,59571.94
410,2024,2,60261.81
172,2023,8,60278.6
353,2023,9,60529.04
843,2024,6,63314.69
834,2023,9,66216.42
400,2023,8,66399.65
35,2023,10,68469.64
812,2023,4,69999.42
818,2023,10,70565.93
920,2023,8,72461.71
397,2023,7,73502.61
338,2023,7,73935.77
341,2023,3,74383.36
31,2024,2,75072.33
858,2024,3,76009.76
413,2023,4,78028.14
